Method,Name,Error,Occurrences
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""321da12e-ef7e-43da-b4ba-f50ce7887c61""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""52eba842-1d61-4d57-9a1d-c0ebbcd4133e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c932adc7-ef9d-4f36-af6d-f95e6aa9dc42""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""09c1e387-71f3-489d-8869-e5ed129e39cb""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8d08f563-6d11-4f41-8915-e60bc9f8870f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bfae21bf-f22a-44df-ab07-e9b95401ae32""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e3d901d9-a2e9-48cf-852b-8187c254499a""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""5b5a7cff-3021-46d2-a6b1-b9dc43400aef""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""84e3f129-a309-4e46-a843-5147edb19d72""}')",1
GET,GET /api/digital-prf/[id],CatchResponseError('refetch failed: 500'),4
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8ed94f33-b37f-44f0-82f0-14a0cc26902d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""38555df0-625d-41a3-8c24-2de0e49dbe5f""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""148590f5-9992-413a-9920-871c4364f7fa""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""99f7c908-c638-4d4a-ac31-8bd20f590788""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""89db04c5-7840-40aa-a6bb-05c378bf817a""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""a7c2a2df-ae5b-4a8f-a293-0dad933162f7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""81754a8c-0450-43e7-89d9-4e68dddc35b0""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""48ae6dae-aaff-4d44-9c5c-75d3343de2a9""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1f0af893-a55c-455b-be23-2163324b884b""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1430e6ea-2ecf-4ba5-9ddd-92a8a1c2121c""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e755f61d-47c5-4529-869e-cb052f2ecfc9""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""25881d32-727f-432c-99ce-25d995d4d8b2""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9f79a50d-90fe-4331-9baf-6c358da5a3d8""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""95d62841-7056-4ad5-8722-8e11531bd8b1""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7f0b7cfb-857b-4074-a4dd-96e45d467326""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""50e332b9-17e8-4eb2-9d03-94efd647fc96""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""16daf817-e5a3-4e9a-8875-679ef9f1bd0d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""36e7b522-53ce-4653-b37d-72702b264f96""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f223c825-59dc-4384-94c9-95cda98670aa""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""19e8adbc-b464-4a36-8bf0-c111f2011046""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0cbdf852-917a-42e4-b69a-ab855e9b758f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""594b0889-fdc8-4201-a665-dd95b2402fd7""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b1f8044c-926f-4c22-9a50-3064656d361a""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""437dbc3d-b0dc-43bc-b9de-9f1f077d9d79""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e2f97203-1525-4900-ae9f-d317ba604a0a""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ca645beb-849f-4026-93c6-b9ac0ce8928d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bb74b48e-e354-4055-ac20-00ae1e54ac43""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ad87eaeb-1e5c-42a1-acfa-73e1ade8b885""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""307391f9-5599-4d01-915e-521503de22fc""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""171538fb-d5a8-4aba-aa5b-7753f8132bd7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9408db8a-0097-4307-8984-804ab122f050""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""14565638-6131-44c6-b7b0-b672f57fa57a""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""50be4e1c-7d99-4b88-8c5e-5a5f49b26db7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""414acd9a-e1a8-43df-a9b1-612dccfb8758""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""10676082-b513-41f3-ad16-394bfaa28f73""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""15957ce1-5053-4a0b-b70f-e400d578723f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bc33f73d-2729-490a-acea-87426922bf65""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""308cdab3-ee26-463e-bfd5-ea7137248154""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6f4d36ee-ccac-4b73-b5bc-04046e5017de""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b71d12e1-cad1-4c1e-b00a-95d4582ed00d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ca0cd9af-5c79-4bcb-a97b-34dcd0287d02""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ba3d0a87-bee8-4193-8384-61c12ab21442""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e7bc6bb6-d5b1-44cc-928a-6b1675246aad""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7505d987-c61f-495f-8e5b-9e5d72c1d85c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""88e98a20-e33f-4b11-b7ab-b9dc32e2a80c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""57e02009-b268-4c0f-89b3-d1127189be3e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f607948a-77e5-423b-9e76-242519929735""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""44d5b11a-6f03-4e15-9190-ca75ce598dd7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d5fc5f3a-186e-46ec-9054-82e30eb8e4b7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""fd1d74d5-9558-4d98-924a-80f382a9afad""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1e145ebc-0a9e-4564-a147-f5c00c73ce11""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""80ba89f3-4954-49bd-8d56-be4a76538d71""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""3c3a5740-81e8-4864-aa2a-e976c7b7698d""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ec7375b2-eb84-40d6-b6cd-851b50563fcf""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b0338231-bbf0-4c40-bb3e-6e2d6f413e19""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""035952cb-cf47-415c-a7d7-93ed6a847e22""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""24a3e73a-315a-4f07-a984-d0bcf46cbcf8""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""10fc18f0-3043-49b9-a4e2-f347baa1aecc""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bc21b6f6-0976-4135-b87c-4158f83dd4f9""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""86fb7694-c671-48f0-bc7e-ea201d063cdc""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8984965b-9e63-4a07-9246-e157d44b13d0""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c1cff637-c71c-4eca-ae8b-67fca2b79bef""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""56cb0544-670a-41b1-9817-cff9250c76fa""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""995a2adf-d50f-419b-9c6c-a63989bab52a""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e65e7f19-bab9-405d-ac20-543f47f8c68a""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""89a35304-f59e-45ca-8426-95fb87a684be""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f60987c2-6e90-4137-b86c-9b5017268b67""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b0e51c2e-51ae-4ae4-8d18-ae5927059428""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""80ec55f5-f1e6-4fcc-a4bd-82346e9b85d0""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""983d05d5-8295-4551-bcac-bae6685bbdf7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d8478661-b712-48ac-906c-0cfc7a29378c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c5d339f2-e35f-40c8-85e3-1e7ce2497cc0""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c1bd2eb1-e563-4398-84f3-e6f6fd54a2db""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6afd4319-195d-4237-92c7-5c8cb8f7a789""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6198ea24-27d2-4d51-a39f-c150aa04d62f""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d69c4430-8af7-4dca-a0b7-0920d4ed2b6d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9a7bbe18-3691-4b6e-92e2-5d79e6f078e8""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""22e055ba-5696-4ad8-b2f6-48234244ab08""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ec25b881-80a7-4900-9f1e-fce54f08b565""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""26de71b6-7bce-492e-925a-200656ce4db7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""143d8fac-7376-445b-8636-c3d23920af94""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bdb10a0b-68ed-41e2-a6eb-a8197b2e85dd""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7aec16d7-8edc-4890-80ff-8fad10819a28""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e6746c39-3b0d-45dd-8875-3d0f060973ac""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ee94a1d8-2a33-4294-8031-b66794301c40""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""db6cb21d-d0bc-490e-8739-bc27b7ac60da""}')",1
GET,GET /api/digital-prf/[id],CatchResponseError('get failed: 500'),11
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""31dbeb04-fe74-4263-b3df-cfc1bde7b2c3""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""403dd8d5-34cd-423b-83a3-fa64237aa67e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""04d01b0d-17de-41ef-b93d-ba0139d6e258""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6825ee67-da40-4bf4-989a-56d84c45217e""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bfe7a651-67a6-4e57-a9fe-ff79e2e6581c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""30795af1-89a0-4c40-8210-748b271d7fdd""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""cbfb1d0f-19c2-4dde-8338-15e964859c5d""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bfd2a428-a99c-4366-be2e-bf867d9614e7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b65d7452-96f4-4452-a689-4c151a93b93b""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ab520ad8-4afd-4749-9965-4ab733dc471f""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""62d35883-7fc2-4913-ae34-543695da8ce3""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""847b9976-f080-4eb2-b387-5e0d603d9925""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""51d1eff4-5caa-48dd-964a-e53949761072""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7e117113-aa32-4ea6-88f2-28c5bfb4ba84""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""150093ac-c597-4588-9039-2865d73945e6""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b6259f71-d344-40f8-afec-f33abfb3ec97""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""fdb42f20-72db-485d-88c0-b386e044ad14""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""a52db774-87f8-44d3-bfac-63fd06a6d094""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""777356d0-200b-4969-820e-9b572745a1e4""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""742fae4a-bdcd-4820-a1f0-24b9b6522110""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""3ffa9363-40e8-4560-846d-4bfa196dff0b""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f8a695b2-bfc6-417b-95b3-4a052c0e6b6c""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bf346be1-9b07-4588-81f4-eef3bebae42d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""244b95c0-39e0-44c0-8aac-c44f0088894e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c2c8c04f-0015-4f53-baf1-5681bd17d043""}')",1
