Method,Name,Error,Occurrences
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8bf744e0-179d-4ed5-a7a3-4405ce5096bd""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d4aa3678-53d0-4b59-9a09-582c35e65eb1""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""48923acc-9021-48dc-970d-03ce88ff2ddd""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0d1e00bd-c550-4c04-a73c-fcd1f4f686a1""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""451e3e18-637f-4e16-86d2-f74d2a4def7a""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 401 {""detail"":""Invalid or expired token""}')",130
GET,GET /api/digital-prf/[id],CatchResponseError('get failed: 500'),9
POST,POST /api/digital-prf/[id]/submit,"CatchResponseError('submit failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2b7363dd-c58a-4b14-96d0-7cd479604995""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""925770a3-b493-49c5-a0bf-74f67e7c08fb""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""49587a7a-60f7-40fe-a81c-5befe11e7272""}')",1
POST,POST /api/digital-prf/[id]/submit,"CatchResponseError('submit failed: 401 {""detail"":""Invalid or expired token""}')",31
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ca6cd485-ac8e-4f0d-8688-2447d70d3e32""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""fd372982-1c7d-4a39-b9aa-3675c5cd3f91""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bfd78ae1-01fa-46e1-ad0b-f9f4d3ef7b16""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8df51a61-e49f-46ce-8801-a8d8b0d6ae1e""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""a8a2b6bc-bb61-4b9d-acf2-926b90bca742""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""a003521e-86a9-4324-96e0-b5fbdda7ed24""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""5648235e-7695-4657-aa05-4d681a684b5b""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""32097ac2-ac2f-4aaf-b296-d5fcd708956e""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""5d6bd17c-b5a8-4d45-927f-276862641593""}')",1
PATCH,PATCH /api/digital-prf/[id] (autosave),"CatchResponseError('autosave failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bfe591f3-ab49-4811-8aca-069c9c91c4c2""}')",1
POST,POST /api/digital-prf/[id]/mark-time,"CatchResponseError('mark-time failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""dc9e8b9b-3a75-4a61-981d-4673a29a85e9""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4620c3bd-c6eb-4cad-815b-d54c511bab51""}')",1
